Species,Label
03005216.jpg,Fringilla coelebs
043feeef6b30c6247eb95c5cc4629a38-141.jpg,Fringilla coelebs
10308289.082fc533.500.jpg,Fringilla coelebs
1130874_large42963.jpg,Fringilla coelebs
12544038.jpg,Fringilla coelebs
127280.jpg,Fringilla coelebs
12_CHS00526n.jpg,Fringilla coelebs
152295.jpg,Fringilla coelebs
152296.jpg,Fringilla coelebs
153046.jpg,Fringilla coelebs
184251.jpg,Fringilla coelebs
18CHS00444x.jpg,Fringilla coelebs
18CHS00648o.jpg,Fringilla coelebs
1ES79692_BOFIN_M10_3_2012-10-19_2-76.jpg,Fringilla coelebs
1EV96399-BOFIN-M3-2018-04-13-3-1024x.jpg,Fringilla coelebs
20102012.jpg,Fringilla coelebs
2012_fringuelli_002.jpg,Fringilla coelebs
202723.jpg,Fringilla coelebs
2171571.jpg,Fringilla coelebs
2239311_l.jpg,Fringilla coelebs
2344520883_f5c16e8ed9_o.jpg,Fringilla coelebs
2366163.jpg,Fringilla coelebs
2450837_l.jpg,Fringilla coelebs
2477.jpg,Fringilla coelebs
24868.jpg,Fringilla coelebs
250px-Chaffinch_%28Fringilla_coelebs.jpg,Fringilla coelebs
250px-Fulda_Buchfinkweibchen_Juni_20.JPG,Fringilla coelebs
252881.jpg,Fringilla coelebs
2559696.jpg,Fringilla coelebs
2613273_l.jpg,Fringilla coelebs
2633895.jpg,Fringilla coelebs
2721162.jpg,Fringilla coelebs
2724700.jpg,Fringilla coelebs
28548457.jpg,Fringilla coelebs
2915812_large60385.jpg,Fringilla coelebs
291786.jpg,Fringilla coelebs
2922910_l.jpg,Fringilla coelebs
2e34f521b9b5ed638634b48d875e2186.jpg,Fringilla coelebs
30646.jpg,Fringilla coelebs
3095191.jpg,Fringilla coelebs
310983.jpg,Fringilla coelebs
311279.jpg,Fringilla coelebs
311280.jpg,Fringilla coelebs
31175394433_f9cefb7f66_b.jpg,Fringilla coelebs
3123775_l.jpg,Fringilla coelebs
31949.jpg,Fringilla coelebs
3237165_l.jpg,Fringilla coelebs
325008.jpg,Fringilla coelebs
3424623.jpg,Fringilla coelebs
3489736_l.jpg,Fringilla coelebs
3489800_l.jpg,Fringilla coelebs
3512763_l.jpg,Fringilla coelebs
3821241_l.jpg,Fringilla coelebs
3842929_l.jpg,Fringilla coelebs
42347.jpg,Fringilla coelebs
500px-Fringilla_coelebs_on_branch.jpg,Fringilla coelebs
5078367912_68700444ce_b.jpg,Fringilla coelebs
5520-penkava-obecna-fringilla-coeleb.jpg,Fringilla coelebs
601px-Fringilla_coelebs_male_edit_3.jpg,Fringilla coelebs
6241553.jpg,Fringilla coelebs
62481.jpg,Fringilla coelebs
6761896_m.jpg,Fringilla coelebs
7_ssp_maderensis_5_.jpg,Fringilla coelebs
8074529.jpg,Fringilla coelebs
8d68a9b98b13d162e87b1e75959148a0.jpg,Fringilla coelebs
9176056751_279f727273_c.jpg,Fringilla coelebs
917px-Fringilla_coelebs_tintillon.jpg,Fringilla coelebs
9675021.jpg,Fringilla coelebs
azoren-buchfink-fringilla-coelebs-mo.jpg,Fringilla coelebs
bc1264.jpg,Fringilla coelebs
bird1.jpg,Fringilla coelebs
BLWS077972.jpg,Fringilla coelebs
BLWS133381.jpg,Fringilla coelebs
Bogfinke.jpg,Fringilla coelebs
boh.jpg_20061014193649_boh.jpg,Fringilla coelebs
Buchfink  Fringilla Coelebs.jpg,Fringilla coelebs
buchfink-021.jpg,Fringilla coelebs
buchfink-2-maennl-fringilla-coelebs-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-041e9b42-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-1-5b505aa.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-11a7f8ed-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-27ecfb0c-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-28d6c3dd-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-2bab9b4b-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-2f77d6d8-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-3-1b1491d.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-6d80f114-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-73a846e2-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-776057f8-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-79a7f826-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-7e7e7da4-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-828e6144-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-90c74937-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-a3b8d120-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-ba5317.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-das-maenn.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-efe80dd3-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-f49e33c0-.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-maennchen-1.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-maennchen.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-weibchen-.jpg,Fringilla coelebs
buchfink-m-fringilla-coelebs-97f3b55.jpg,Fringilla coelebs
buchfink-maennl-fringilla-coelebs-ad.jpg,Fringilla coelebs
buchfink-maennlich-fringilla-coelebs.jpg,Fringilla coelebs
buchfink-w-fringilla-coelebs-b99dbb3.jpg,Fringilla coelebs
Buchfink.jpg,Fringilla coelebs
