Species,Label
3424623.jpg,Fringilla coelebs
dsc_1644_filtered.jpg,Turdus merula
bc1264.jpg,Fringilla coelebs
kohlmeise-parus-major-f3cc785d-d92a-.jpg,Parus major
die-dorngrasmuecke-sylvia-communis-8.jpg,Sylvia communis
92384621_o.jpg,Parus major
dsc_2056_filtered.jpg,Turdus merula
blackbird_1_0.jpg,Turdus merula
Fringilla_coelebs.jpg,Fringilla coelebs
mirlo-comun-turdus-merula-3-1024x683.jpg,Turdus merula
Amsel-2322.jpg,Turdus merula
407216.jpg,Parus major
czdrizd_il.jpg,Turdus merula
2633895.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-28d6c3dd-.jpg,Fringilla coelebs
male-whitethroat-sylvia-communis-151.jpg,Sylvia communis
F.coelebs.jpg,Fringilla coelebs
buchfink-fringilla-coelebs-maennchen-1.jpg,Fringilla coelebs
Chaffinch_(Fringilla_coelebs)_-_geog.jpg,Fringilla coelebs
30782003.jpg,Turdus merula
12_CHS00526n.jpg,Fringilla coelebs
3821241_l.jpg,Fringilla coelebs
25457.jpg,Parus major
265560.jpg,Parus major
amsel-turdus-merula-44c8aa51-ee2f-4a.jpg,Turdus merula
sylvia-communis1.jpg,Sylvia communis
1327087080_IMGP1823.jpg,Parus major
dsc_6716_filtered.jpg,Sylvia communis
amsel-turdus-merula-e8f4ecdf-493d-48.jpg,Turdus merula
17015.jpg,Sylvia communis
214437.jpg,Turdus merula
3237165_l.jpg,Fringilla coelebs
310983.jpg,Fringilla coelebs
9c8d5338.jpg,Parus major
fringilla-coelebs-157420.jpg,Fringilla coelebs
sterpazzola.jpg,Sylvia communis
4305841.jpg,Turdus merula
blackbird-turdus-merula-bird-bath-ga.jpg,Turdus merula
sdl-sylvia-communis-00001.jpg,Sylvia communis
3031489.jpg,Parus major
ff38c34f90dcd6732656d3bd4f2694ff.jpg,Turdus merula
buchfink-fringilla-coelebs-weibchen-.jpg,Fringilla coelebs
fringilla-coelebs-6926fc60-f8e7-4081.jpg,Fringilla coelebs
127280.jpg,Fringilla coelebs
kohlmeise-parus-major-6d033f49-dfa3-.jpg,Parus major
4117_Merle_noir_male_adulte.jpg,Turdus merula
Fringilla_coelebs_(Chaffinch-Buchfin.jpg,Fringilla coelebs
buchfinken-fringilla-coelebs-gengler.jpg,Fringilla coelebs
1670524.jpg,Parus major
IMG_2951.jpg,Sylvia communis
2171571.jpg,Fringilla coelebs
12544038.jpg,Fringilla coelebs
3578216.jpg,Turdus merula
3391259_l.jpg,Parus major
Fringilla_coelebs_1.jpg,Fringilla coelebs
3400963_l.jpg,Parus major
kina244109.jpg,Parus major
394801.jpg,Sylvia communis
1200px-Turdus_merula-3.jpg,Turdus merula
2239311_l.jpg,Fringilla coelebs
blackbird_1349.jpg,Turdus merula
14093562.jpg,Sylvia communis
2366163.jpg,Fringilla coelebs
3403066_l.jpg,Parus major
